airport_id,name,city,country,latitude,longitude,geolocation
245,ALFREDO VLADIMIR SARA BAVER,ANDOAS,PERU,-2.830278,-76.455278,AAAAAAEBAAAA0LTEymikBsCnJVZGIx1TwA==
246,AL-GHAIDAH,AL-GHAIDAH,YEMEN,16.193333,52.174167,AAAAAAEBAAAA0TyARX4xMEBuhbAaSxZKQA==
248,ALGONA MUN,ALGONA,UNITED STATES,43.077778,-94.271944,AAAAAAEBAAAAlSwnofSJRUD7lc6HZ5FXwA==
249,AL-HAZM,AL-HAZM,YEMEN,16.208333,44.794444,AAAAAAEBAAAAda29T1U1MEBwQEtXsGVGQA==
250,ALICANTE,ALICANTE,SPAIN,38.282222,-0.558056,AAAAAAEBAAAAGRu62R8kQ0A7xapBmNvhvw==
251,ALICE INTL,ALICE,UNITED STATES,27.740833,-98.026944,AAAAAAEBAAAALcxCO6e9O0CztFNzuYFYwA==
252,ALICE SPRINGS,ALICE SPRINGS,AUSTRALIA,-23.806944,133.902222,AAAAAAEBAAAAFLTJ4ZPON8Bq96sA37xgQA==
253,ALINDAO,ALINDAO,CENTRAL AFRICAN REP,5.016667,21.2,AAAAAAEBAAAAkrBvJxERFEAzMzMzMzM1QA==
254,ALINGSAS,ALINGSAS,SWEDEN,57.949722,12.578056,AAAAAAEBAAAAVyWRfZD5TEBeg7709icpQA==
255,ALIWAL NORTH,ALIWAL NORTH,SOUTH AFRICAN REP,-30.683333,26.733333,AAAAAAEBAAAAD0dX6e6uPsDbEyS2u7s6QA==
257,ALKANTPAN,ALKANTPAN,SOUTH AFRICAN REP,-29.906389,22.316667,AAAAAAEBAAAAQ3QIHAnoPcDxuKgWEVE2QA==
258,ALLAH VALLEY,SURALLAH,PHILIPPINES,6.334722,124.75,AAAAAAEBAAAAwQEtXcFWGUAAAAAAADBfQA==
259,ALLAHABAD,ALLAHABAD,INDIA,25.44,81.736667,AAAAAAEBAAAAcT0K16NwOUC3QliNJW9UQA==
260,ALLAIRE,BELMAR-FARMINGDALE,UNITED STATES,40.186944,-74.125,AAAAAAEBAAAAehfvx+0XREAAAAAAAIhSwA==
261,ALLAMA IQBAL INTL,LAHORE,PAKISTAN,31.521667,74.4025,AAAAAAEBAAAABmfw94uFP0D2KFyPwplSQA==
262,ALLEBERG,ALLEBERG,SWEDEN,58.135,13.605278,AAAAAAEBAAAA4XoUrkcRTUAB+n3/5jUrQA==
263,ALLEGHENY CO,PITTSBURGH,UNITED STATES,40.354444,-79.930278,AAAAAAEBAAAAuCHGa14tREANjLysiftTwA==
