airport_id,name,city,country,latitude,longitude,geolocation
4004,FRANCISCO MENDES,PRAIA,CAPE VERDE,14.924444,-23.493333,AAAAAAEBAAAAg/dVuVDZLUCeCU0SS343wA==
4005,FRANCISCO PEREIRA LOPES,SAO CARLOS,BRAZIL,-21.875556,-47.903333,AAAAAAEBAAAAC9EhcCTgNcDkMm5qoPNHwA==
4006,FRANCISCO SA CARNEIRO,PORTO,PORTUGAL,41.235556,-8.678056,AAAAAAEBAAAANDDysiaeRECRtvEnKlshwA==
4007,FRANCISCO SA,FRANCISCO SA,BRAZIL,-16.438333,-43.469444,AAAAAAEBAAAA8MFrlzZwMMDXprG9FrxFwA==
4008,FRANCISCO SARABIA,TUXTLA GUTIERREZ,MEXICO,16.769444,-93.355833,AAAAAAEBAAAAehowSPrEMECbdcb3xVZXwA==
4009,FRANCISTOWN,FRANCISTOWN,BOTSWANA,-21.160833,27.482222,AAAAAAEBAAAAGR77WSwpNcBmaafmcns7QA==
4010,FRANCO BIANCO,CERRO SOMBRERO,CHILE,-52.736667,-69.333611,AAAAAAEBAAAAboWwGkteSsB/pfPhWVVRwA==
4012,FRANK PAIS,HOLGUIN,CUBA,20.785556,-76.315,AAAAAAEBAAAANC2xMhrJNEBcj8L1KBRTwA==
4014,FRANKFORT MUN,FRANKFORT,UNITED STATES,40.273333,-86.562222,AAAAAAEBAAAAc/Vjk/wiREDfxftx+6NVwA==
4017,FRANKFURT/ MAIN,FRANKFURT/ MAIN,GERMANY,50.033333,8.570556,AAAAAAEBAAAAVHB4QUQESUC6EoHqHyQhQA==
4018,FRANKFURT-HAHN,FRANKFURT-HAHN,GERMANY,49.948611,7.263889,AAAAAAEBAAAAHNDSFWz5SEC5GAPrOA4dQA==
4019,FRANKLIN CO STATE,HIGHGATE,UNITED STATES,44.940278,-73.0975,AAAAAAEBAAAA+5KNB1t4RkAK16NwPUZSwA==
4022,FRANKLIN CO,LOUISBURG,UNITED STATES,36.023333,-78.330278,AAAAAAEBAAAAc/Vjk/wCQkCnJVZGI5VTwA==
4023,FRANKLIN CO,SEWANEE,UNITED STATES,35.203889,-85.898611,AAAAAAEBAAAAz4HlCBmaQUDbNLbXgnlVwA==
4025,FRANKLIN MUN-ROSE,FRANKLIN,UNITED STATES,36.698056,-76.903889,AAAAAAEBAAAAZ2Ml5llZQkC1jT9R2TlTwA==
4030,FRANS KAISIEPO,BIAK,INDONESIA,-1.191944,136.11,AAAAAAEBAAAAYp0q3zMS87/sUbgehQNhQA==
4032,FRASER LAKE,FRASER LAKE,CANADA,54.013333,-124.768333,AAAAAAEBAAAAknpP5bQBS0AB3CxeLDFfwA==
4035,FREDERICK MUN,FREDERICK,UNITED STATES,39.4175,-77.374444,AAAAAAEBAAAAPQrXo3C1Q0C9i/fj9ldTwA==
4036,FREDERICK MUN,FREDERICK,UNITED STATES,34.3525,-98.984167,AAAAAAEBAAAAhetRuB4tQUBbs5WX/L5YwA==
4038,FREDERICTON,FREDERICTON,CANADA,45.869444,-66.531667,AAAAAAEBAAAACtrk8EnvRkAyVwbVBqJQwA==
4047,FREEMAN MUN,SEYMOUR,UNITED STATES,38.923611,-85.9075,AAAAAAEBAAAA6Zyf4jh2Q0CuR+F6FHpVwA==
4051,FREEWAY,FREEWAY,SOUTH AFRICAN REP,-25.477222,28.24,AAAAAAEBAAAAhe6SOCt6OcA9CtejcD08QA==
4052,FREGATE,FREGATE ISLAND,SEYCHELLES,-4.583333,55.95,AAAAAAEBAAAA1LX2PlVVEsCamZmZmflLQA==
4053,FREIBURG/ BREISGAU,FREIBURG/ BREISGAU,GERMANY,48.020556,7.833611,AAAAAAEBAAAASN45lKECSEDrVzofnlUfQA==
4054,FREISTADT,FREISTADT,AUSTRIA,48.515278,14.409722,AAAAAAEBAAAAlSwnofRBSEBH5/wUx9EsQA==
4057,FREMONT MUN,FREMONT,UNITED STATES,41.449167,-96.520278,AAAAAAEBAAAAorjjTX65READtRg8TCFYwA==
4059,FRENCH LICK MUN,FRENCH LICK,UNITED STATES,38.506111,-86.636944,AAAAAAEBAAAAq5LIPshAQ0CKWMSww6hVwA==
4061,FRESCATY AB,METZ,FRANCE,49.076389,6.133889,AAAAAAEBAAAAF2NgHceJSEA0LbEyGokYQA==
4063,FRESNO YOSEMITE INTL,FRESNO,UNITED STATES,36.776111,-119.718056,AAAAAAEBAAAAbojxmldjQkCVLCeh9O1dwA==
4064,FRESNO-CHANDLER DOWNTOWN,FRESNO,UNITED STATES,36.7325,-119.82,AAAAAAEBAAAA9ihcj8JdQkAUrkfhevRdwA==
4066,FRICKTAL-SCHUPFART,FRICKTAL-SCHUPFART,SWITZERLAND,47.508889,7.95,AAAAAAEBAAAApyVWRiPBR0DNzMzMzMwfQA==
4067,FRIDAY HARBOR,FRIDAY HARBOR,UNITED STATES,48.521944,-123.024444,AAAAAAEBAAAA9SudD89CSEBXJZF9kMFewA==
4068,FRIEDMAN MEML,HAILEY,UNITED STATES,43.504167,-114.295833,AAAAAAEBAAAAeVxUi4jARUD3BInt7pJcwA==
4069,FRIEDRICHSHAFEN,FRIEDRICHSHAFEN,GERMANY,47.671389,9.511389,AAAAAAEBAAAAc/IiE/DVR0B7EW3H1AUjQA==
4072,FRITZLAR ARMY,FRITZLAR,GERMANY,51.114444,9.285833,AAAAAAEBAAAAmZzaGaaOSUAyPPazWJIiQA==
4073,FRONT RANGE,DENVER,UNITED STATES,39.785278,-104.543056,AAAAAAEBAAAAVyJQ/YPkQ0Bi+fNtwSJawA==
4074,FRONT ROYAL-WARREN CO,FRONT ROYAL,UNITED STATES,38.9175,-78.253611,AAAAAAEBAAAAPQrXo3B1Q0D6uaEpO5BTwA==
4075,FRONTEIRA,FRONTEIRA,BRAZIL,-20.2775,-49.190833,AAAAAAEBAAAA16NwPQpHNMCw/zo3bZhIwA==
4076,FRONTIER,FRONTIER,CANADA,49.166667,-108.566667,AAAAAAEBAAAARSkhWFWVSEA8LqpFRCRbwA==
4077,FROSINONE MIL,FROSINONE,ITALY,41.645833,13.3,AAAAAAEBAAAAu9bep6rSRECamZmZmZkqQA==
4078,FROSON AB,OSTERSUND,SWEDEN,63.194444,14.500278,AAAAAAEBAAAAo3N+iuOYT0AL0SFwJAAtQA==
4079,FROTEY,VESOUL,FRANCE,47.639444,6.205278,AAAAAAEBAAAAzM8NTdnRR0BoWmJlNNIYQA==
4080,FRUTAL,FRUTAL,BRAZIL,-20.004722,-48.958889,AAAAAAEBAAAAXJIDdjUBNMBAv+/fvHpIwA==
4081,FRYDLANT,FRYDLANT,CZECH,49.589444,18.379167,AAAAAAEBAAAAZmmn5nLLSEDxuKgWEWEyQA==
4082,FRYKLANDA,TORSBY,SWEDEN,60.154722,12.993611,AAAAAAEBAAAAYfw07s0TTkBH5LuUuvwpQA==
4083,FT ALBANY,FT ALBANY,CANADA,52.201389,-81.696944,AAAAAAEBAAAAF2NgHccZSkAuyQG7mmxUwA==
4088,FT BRIDGER,FT BRIDGER,UNITED STATES,41.391944,-110.406667,AAAAAAEBAAAAhe6SOCuyREAyVwbVBppbwA==
4089,FT CHIPEWYAN,FT CHIPEWYAN,CANADA,58.767222,-111.117222,AAAAAAEBAAAAx2KbVDRiTUDKF7SQgMdbwA==
4091,FT COLLINS-LOVELAND MUN,FT COLLINS-LOVELAND,UNITED STATES,40.451944,-105.011389,AAAAAAEBAAAAzM8NTdk5REAvou2YukBawA==
4093,FT DODGE REGL,FT DODGE,UNITED STATES,42.551389,-94.1925,AAAAAAEBAAAA5C8t6pNGRUC4HoXrUYxXwA==
4094,FT FRANCES MUN,FT FRANCES,CANADA,48.654167,-93.439722,AAAAAAEBAAAArI+HvrtTSEA7Vb5nJFxXwA==
4095,FT GOOD HOPE,FT GOOD HOPE,CANADA,66.240833,-128.650833,AAAAAAEBAAAAC7PQzmmPUEALRbqf0xRgwA==
4096,FT HOPE,FT HOPE,CANADA,51.561389,-87.906944,AAAAAAEBAAAAxapBmNvHSUBr09heC/pVwA==
4097,FT LAUDERDALE EXECUTIVE,FT LAUDERDALE,UNITED STATES,26.197222,-80.170833,AAAAAAEBAAAAPQ0YJH0yOkD3BInt7gpUwA==
4098,FT LAUDERDALE-HOLLYWOOD INTL,FT LAUDERDALE,UNITED STATES,26.0725,-80.152778,AAAAAAEBAAAAw/UoXI8SOkAXY2AdxwlUwA==
4099,FT LIARD,FT LIARD,CANADA,60.236944,-123.470833,AAAAAAEBAAAA4X1VLlQeTkAqOLwgIt5ewA==
4100,FT MACLEOD,FT MACLEOD,CANADA,49.7,-113.416667,AAAAAAEBAAAAmpmZmZnZSECjlBCsqlpcwA==
4101,FT MADISON MUN,FT MADISON,UNITED STATES,40.659167,-91.326944,AAAAAAEBAAAAHM2RlV9UREDm54am7NRWwA==
4102,FT MC MURRAY,FT MC MURRAY,CANADA,56.653333,-111.221944,AAAAAAEBAAAA5DJuaqBTTEDHYptUNM5bwA==
4103,FT MC PHERSON,FT MC PHERSON,CANADA,67.407778,-134.860278,AAAAAAEBAAAAz4HlCBnaUED8brplh9tgwA==
4105,FT NELSON,FT NELSON,CANADA,58.836389,-122.597222,AAAAAAEBAAAA+N10yw5rTUDpnJ/iOKZewA==
4106,FT PROVIDENCE,FT PROVIDENCE,CANADA,61.319444,-117.605833,AAAAAAEBAAAAo3N+iuOoTkCbdcb3xWZdwA==
4107,FT RESOLUTION,FT RESOLUTION,CANADA,61.180833,-113.689722,AAAAAAEBAAAAz4QmiSWXTkA7Vb5nJGxcwA==
4109,FT SCOTT MUN,FT SCOTT,UNITED STATES,37.798333,-94.769444,AAAAAAEBAAAApiiXxi/mQkCeBgySPrFXwA==
4110,FT SEVERN,FT SEVERN,CANADA,56.021111,-87.677778,AAAAAAEBAAAA/Urnw7MCTECx/Pm2YOtVwA==
4111,FT SIMPSON,FT SIMPSON,CANADA,61.760278,-121.236667,AAAAAAEBAAAAJO8cylDhTkC3QliNJU9ewA==
4112,FT SMITH REGL,FT SMITH,UNITED STATES,35.336667,-94.3675,AAAAAAEBAAAAO1J95xerQUDsUbgehZdXwA==
4114,FT SMITH,FT SMITH,CANADA,60.022222,-111.960278,AAAAAAEBAAAAOKClK9gCTkBfRNsxdf1bwA==
4115,FT ST JOHN,FT ST JOHN,CANADA,56.238056,-120.740278,AAAAAAEBAAAA7E53nngeTECx/Pm2YC9ewA==
4116,FT STOCKTON-PECOS CO,FT STOCKTON,UNITED STATES,30.915556,-102.916111,AAAAAAEBAAAAFajF4GHqPkBgIAiQobpZwA==
4117,FT SUMNER MUN,FT SUMNER,UNITED STATES,34.483333,-104.217222,AAAAAAEBAAAA7gkS2909QUAxfhr35g1awA==
4118,FT VERMILION,FT VERMILION,CANADA,58.404167,-115.950833,AAAAAAEBAAAArI+HvrszTUBJvady2vxcwA==
4120,FT WARE,FT WARE,CANADA,57.426111,-125.646111,AAAAAAEBAAAAobskzoq2TEB/pfPhWWlfwA==
4121,FT WAYNE INTL,FT WAYNE,UNITED STATES,40.978333,-85.195278,AAAAAAEBAAAAfcwHBDp9REA26Etvf0xVwA==
